Tournament,Round,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Attendance,Referee,Goals
FA Cup 2022-23,Fourth Round,8 February 2023,19:45 GMT,Sunderland (2),2-3,Fulham (1),0-0,Stadium of Light, Sunderland,29651,Tim Robinson,"Clarke 77'; Bennette 90' | Wilson 8'; Pereira 59'; Kurzawa 82'"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Ipswich Town (3),0-0,Burnley (2),0-0,Portman Road, Ipswich,25420,Tom Nield,""
FA Cup 2022-23,Fourth Round,7 February 2023,19:45 GMT,Burnley (2),2-1,Ipswich Town (3),0-0,Turf Moor, Burnley,11543,Scott Oldham,"Tella 2', 90+4' | Hirst 3'"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Luton Town (2),2-2,Grimsby Town (4),0-0,Kenilworth Road, Luton,8552,Tim Robinson,"Adebayo 49'(pen.); Clark 66' | Holohan 43'; Clifton 67'"
FA Cup 2022-23,Fourth Round,7 February 2023,19:45 GMT,Grimsby Town (4),3-0,Luton Town (2),0-0,Blundell Park, Cleethorpes,7051,Sam Barrott,"Clifton 9'; Orsi 28'; Amos 45+5'"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Sheffield Wednesday (3),1-1,Fleetwood Town (3),0-0,Hillsborough Stadium, Sheffield,15743,Charles Breakspear,"Earl 71'(o.g.) | Omochere 52'"
FA Cup 2022-23,Fourth Round,7 February 2023,19:45 GMT,Fleetwood Town (3),1-0,Sheffield Wednesday (3),0-0,Highbury Stadium, Fleetwood,2936,Darren Bond,"Mendes Gomes 60'"
FA Cup 2022-23,Fourth Round,28 January 2023,15:00 GMT,Southampton (1),2-1,Blackpool (2),0-0,St Mary's Stadium, Southampton,20665,Craig Pawson,"Perraud 22', 62' | Patino 67'"
FA Cup 2022-23,Fourth Round,28 January 2023,18:00 GMT,Preston North End (2),0-3,Tottenham Hotspur (1),0-0,Deepdale, Preston,21219,Peter Bankes,"Son Heung-min 50', 69'; Danjuma 87'"
FA Cup 2022-23,Fourth Round,28 January 2023,20:00 GMT,Manchester United (1),3-1,Reading (2),0-0,Old Trafford, Trafford,73460,Darren England,"Casemiro 54', 58'; Fred 66' | Mbengue 72'"
FA Cup 2022-23,Fourth Round,29 January 2023,13:30 GMT,Brighton & Hove Albion (1),2-1,Liverpool (1),0-0,Falmer Stadium, Brighton & Hove,31675,David Coote,"Dunk 39'; Mitoma 90+2' | Elliott 30'"
FA Cup 2022-23,Fourth Round,29 January 2023,14:00 GMT,Stoke City (2),3-1,Stevenage (4),0-0,Bet365 Stadium, Stoke-on-Trent,14392,David Webb,"Brown 3'; Laurent 73'; Baker 80'(pen.) | Reid 70'"
