Tournament,Round,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Attendance,Referee,Goals
FA Cup 2024-25,Third Round,9 January 2025,,Sheffield United (2),0-1,Cardiff City (2),0-0,,Sheffield,,,""
FA Cup 2024-25,Third Round,9 January 2025,,Everton (1),2-0,Peterborough United (3),0-0,,Liverpool,,,""
FA Cup 2024-25,Third Round,9 January 2025,,Fulham (1),4-1,Watford (2),0-0,,Fulham,,,""
FA Cup 2024-25,Third Round,10 January 2025,,Wycombe Wanderers (3),2-0,Portsmouth (2),0-0,,High Wycombe,,,""
FA Cup 2024-25,Third Round,10 January 2025,,Aston Villa (1),2-1,West Ham United (1),0-0,,Birmingham,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Birmingham City (3),2-1,Lincoln City (3),0-0,,Birmingham,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Bristol City (2),1-2,Wolverhampton Wanderers (1),0-0,,Bristol,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Middlesbrough (2),0-1,Blackburn Rovers (2),0-0,,Middlesbrough,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Liverpool (1),4-0,Accrington Stanley (4),0-0,,Liverpool,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Leicester City (1),6-2,Queens Park Rangers (2),0-0,,Leicester,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Bournemouth (1),5-1,West Bromwich Albion (2),0-0,,Bournemouth,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Brentford (1),0-1,Plymouth Argyle (2),0-0,,Brentford,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Chelsea (1),5-0,Morecambe (4),0-0,,Fulham,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Exeter City (3),3-1,Oxford United (2),0-0,,Exeter,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Norwich City (2),0-4,Brighton & Hove Albion (1),0-0,,Norwich,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Nottingham Forest (1),2-0,Luton Town (2),0-0,,West Bridgford,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Reading (3),1-3 (a.e.t.),Burnley (2),0-0,,Reading,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Sunderland (2),1-2 (a.e.t.),Stoke City (2),0-0,,Sunderland,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Leeds United (2),1-0,Harrogate Town (4),0-0,,Leeds,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Manchester City (1),8-0,Salford City (4),0-0,,Manchester,,,""
FA Cup 2024-25,Third Round,11 January 2025,,Coventry City (2),1-1 (4-3 p),Sheffield Wednesday (2),0-0,,Coventry,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Hull City (2),1-1 (4-5 p),Doncaster Rovers (4),0-0,,Kingston upon Hull,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Tamworth (5),0-3 (a.e.t.),Tottenham Hotspur (1),0-0,,Tamworth,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Arsenal (1),1-1 (3-5 p),Manchester United (1),0-0,,Holloway,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Crystal Palace (1),1-0,Stockport County (3),0-0,,Selhurst,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Ipswich Town (1),3-0,Bristol Rovers (3),0-0,,Ipswich,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Newcastle United (1),3-1,Bromley (4),0-0,,Newcastle upon Tyne,,,""
FA Cup 2024-25,Third Round,12 January 2025,,Southampton (1),3-0,Swansea City (2),0-0,,Southampton,,,""
FA Cup 2024-25,Third Round,13 January 2025,,Millwall (2),3-0,Dagenham & Redbridge (5),0-0,,Bermondsey,,,""
FA Cup 2024-25,Third Round,14 January 2025,,Leyton Orient (3),1-1 (6-5 p),Derby County (2),0-0,,Leyton,,,""
FA Cup 2024-25,Third Round,14 January 2025,,Mansfield Town (3),0-2,Wigan Athletic (3),0-0,,Mansfield,,,""
FA Cup 2024-25,Third Round,14 January 2025,,Preston North End (2),2-1,Charlton Athletic (3),0-0,,Preston,,,""
FA Cup 2024-25,Fourth Round,7 February 2025,,Manchester United (1),2-1,Leicester City (1),0-0,,Trafford,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Leeds United (2),0-2,Millwall (2),0-0,,Leeds,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Leyton Orient (3),1-2,Manchester City (1),0-0,,Leyton,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Coventry City (2),1-4,Ipswich Town (1),0-0,,Coventry,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Everton (1),0-2,Bournemouth (1),0-0,,Liverpool,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Preston North End (2),0-0 (4-2 p),Wycombe Wanderers (3),0-0,,Preston,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Southampton (1),0-1,Burnley (2),0-0,,Southampton,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Stoke City (2),3-3 (2-4 p),Cardiff City (2),0-0,,Stoke-on-Trent,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Wigan Athletic (3),1-2,Fulham (1),0-0,,Wigan,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Birmingham City (3),2-3,Newcastle United (1),0-0,,Birmingham,,,""
FA Cup 2024-25,Fourth Round,8 February 2025,,Brighton & Hove Albion (1),2-1,Chelsea (1),0-0,,Brighton and Hove,,,""
FA Cup 2024-25,Fourth Round,9 February 2025,,Blackburn Rovers (2),0-2,Wolverhampton Wanderers (1),0-0,,Blackburn,,,""
FA Cup 2024-25,Fourth Round,9 February 2025,,Plymouth Argyle (2),1-0,Liverpool (1),0-0,,Plymouth,,,""
FA Cup 2024-25,Fourth Round,9 February 2025,,Aston Villa (1),2-1,Tottenham Hotspur (1),0-0,,Birmingham,,,""
FA Cup 2024-25,Fourth Round,10 February 2025,,Doncaster Rovers (4),0-2,Crystal Palace (1),0-0,,Doncaster,,,""
FA Cup 2024-25,Fourth Round,11 February 2025,,Exeter City (3),2-2 (2-4 p),Nottingham Forest (1),0-0,,Exeter,,,""
FA Cup 2024-25,Fifth Round,28 February 2025,,Aston Villa (1),2-0,Cardiff City (2),0-0,,Birmingham,,,""
FA Cup 2024-25,Fifth Round,1 March 2025,,Crystal Palace (1),3-1,Millwall (2),0-0,,Selhurst,,,""
FA Cup 2024-25,Fifth Round,1 March 2025,,Preston North End (2),3-0,Burnley (2),0-0,,Preston,,,""
FA Cup 2024-25,Fifth Round,1 March 2025,,Bournemouth (1),1-1 (5-4 p),Wolverhampton Wanderers (1),0-0,,Bournemouth,,,""
FA Cup 2024-25,Fifth Round,1 March 2025,,Manchester City (1),3-1,Plymouth Argyle (2),0-0,,Manchester,,,""
FA Cup 2024-25,Fifth Round,2 March 2025,,Newcastle United (1),1-2 (a.e.t.),Brighton & Hove Albion (1),0-0,,Newcastle upon Tyne,,,""
FA Cup 2024-25,Fifth Round,2 March 2025,,Manchester United (1),1-1 (3-4 p),Fulham (1),0-0,,Trafford,,,""
FA Cup 2024-25,Fifth Round,3 March 2025,,Nottingham Forest (1),1-1 (5-4 p),Ipswich Town (1),0-0,,West Bridgford,,,""
FA Cup 2024-25,Quarter-finals,29 March 2025,,Fulham (1),0-3,Crystal Palace (1),0-0,,Fulham,,,""
FA Cup 2024-25,Quarter-finals,29 March 2025,,Brighton & Hove Albion (1),0-0 (3-4 p),Nottingham Forest (1),0-0,,Brighton and Hove,,,""
FA Cup 2024-25,Quarter-finals,30 March 2025,,Preston North End (2),0-3,Aston Villa (1),0-0,,Preston,,,""
FA Cup 2024-25,Quarter-finals,30 March 2025,,Bournemouth (1),1-2,Manchester City (1),0-0,,Bournemouth,,,""
FA Cup 2024-25,Semi-finals,26 April 2025,17:15 BST,Crystal Palace (1),3-0,Aston Villa (1),0-0,Wembley Stadium, London,82301,Anthony Taylor,"Eze 31'; Sarr 58', 90+4'"
FA Cup 2024-25,Semi-finals,27 April 2025,16:30 BST,Nottingham Forest (1),0-2,Manchester City (1),0-0,Wembley Stadium, London,72976,Michael Oliver,"Lewis 2'; Gvardiol 51'"
FA Cup 2024-25,Final,17 May 2025,16:30 BST,Crystal Palace (1),1-0,Manchester City (1),0-0,Wembley Stadium, London,84163,Stuart Attwell,"Eze 16'"
