Round,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,ResultType,Notes
Second Round North,2022-08-23,Sheffield Wednesday,Rochdale,3,0,FT,
Second Round North,2022-08-23,Shrewsbury Town,Burnley,0,1,FT,
Second Round North,2022-08-23,Barrow,Lincoln City,2,2,FT,P (1-3)
Second Round North,2022-08-23,Bolton Wanderers,Aston Villa,1,4,FT,
Second Round North,2022-08-23,Bradford City,Blackburn Rovers,1,2,FT,
Second Round North,2022-08-23,Derby County,West Brom,1,0,FT,
Second Round North,2022-08-23,Fleetwood Town,Everton,0,1,FT,
Second Round North,2022-08-23,Grimsby Town,Nottingham Forest,0,3,FT,
Second Round North,2022-08-23,Rotherham United,Morecambe,0,1,FT,
Second Round North,2022-08-23,Stockport County,Leicester City,0,0,FT,P (1-3)
Second Round North,2022-08-23,Wolves,Preston,2,1,FT,
Second Round North,2022-08-24,Leeds United,Barnsley,3,1,FT,
Second Round North,2022-08-24,Tranmere Rovers,Newcastle,1,2,FT,

Second Round South,2022-08-23,Walsall,Charlton Athletic,0,1,FT,
Second Round South,2022-08-23,Cambridge United,Southampton,0,3,FT,
Second Round South,2022-08-23,Colchester United,Brentford,0,2,FT,
Second Round South,2022-08-23,Crawley Town,Fulham,2,0,FT,
Second Round South,2022-08-23,Gillingham,Exeter City,0,0,FT,P (6-5)
Second Round South,2022-08-23,Newport County,Portsmouth,3,2,FT,
Second Round South,2022-08-23,Norwich City,Bournemouth,2,2,FT,P (3-5)
Second Round South,2022-08-23,Oxford United,Crystal Palace,0,2,FT,
Second Round South,2022-08-23,Stevenage,Peterborough,1,0,FT,
Second Round South,2022-08-23,Watford,MK Dons,0,2,FT,
Second Round South,2022-08-24,Forest Green Rovers,Brighton,0,3,FT,
Second Round South,2022-08-24,Wycombe Wanderers,Bristol City,1,3,FT,

Third Round,2022-11-08,Leicester City,Newport County,3,0,FT,
Third Round,2022-11-08,Bournemouth,Everton,4,1,FT,
Third Round,2022-11-08,Burnley,Crawley Town,3,1,FT,
Third Round,2022-11-08,Bristol City,Lincoln City,1,3,FT,
Third Round,2022-11-08,Stevenage,Charlton Athletic,1,1,FT,P (4-5)
Third Round,2022-11-08,MK Dons,Morecambe,2,0,FT,
Third Round,2022-11-08,Brentford,Gillingham,1,1,FT,P (5-6)
Third Round,2022-11-09,West Ham,Blackburn Rovers,2,2,FT,P (9-10)
Third Round,2022-11-09,Nottingham Forest,Tottenham,2,0,FT,
Third Round,2022-11-09,Newcastle,Crystal Palace,0,0,FT,P (3-2)
Third Round,2022-11-09,Southampton,Sheffield Wednesday,1,1,FT,P (6-5)
Third Round,2022-11-09,Arsenal,Brighton,1,3,FT,
Third Round,2022-11-09,Wolves,Leeds United,1,0,FT,
Third Round,2022-11-09,Liverpool,Derby County,0,0,FT,P (3-2)
Third Round,2022-11-09,Man City,Chelsea,2,0,FT,
Third Round,2022-11-10,Man United,Aston Villa,4,2,FT,

Fourth Round,2022-12-20,MK Dons,Leicester City,0,3,FT,
Fourth Round,2022-12-20,Wolves,Gillingham,2,0,FT,
Fourth Round,2022-12-20,Southampton,Lincoln City,2,1,FT,
Fourth Round,2022-12-20,Newcastle,Bournemouth,1,0,FT,
Fourth Round,2022-12-21,Blackburn Rovers,Nottingham Forest,1,4,FT,
Fourth Round,2022-12-21,Charlton Athletic,Brighton,0,0,FT,P (4-3)
Fourth Round,2022-12-21,Man United,Burnley,2,0,FT,
Fourth Round,2022-12-22,Man City,Liverpool,3,2,FT,

Quarter-final,2023-01-10,Man United,Charlton Athletic,3,0,FT,
Quarter-final,2023-01-10,Newcastle,Leicester City,2,0,FT,
Quarter-final,2023-01-11,Nottingham Forest,Wolves,1,1,FT,P (4-3)
Quarter-final,2023-01-11,Southampton,Man City,2,0,FT,

Semi-final Leg1,2023-01-25,Nottingham Forest,Man United,0,3,FT,
Semi-final Leg2,2023-02-01,Man United,Nottingham Forest,2,0,FT,Aggregate 5-0
Semi-final Leg1,2023-01-24,Southampton,Newcastle,0,1,FT,
Semi-final Leg2,2023-01-31,Newcastle,Southampton,2,1,FT,Aggregate 3-1

Final,2023-02-26,Man United,Newcastle,2,0,FT,
