Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2022,Qatar,Group Stage,Group F,Sun Nov 27,16:00,Belgium,0-2,Morocco,0-0,Al Thumama Stadium, Doha,"(Romain Saïss 73' Zakaria Aboukhlal 90+2')"
FIFA World Cup 2022,Qatar,Group Stage,Group F,Sun Nov 27,19:00,Croatia,4-1,Canada,2-1,Khalifa International Stadium, Al Rayyan,"(Andrej Kramarić 36' Marko Livaja 44' Andrej Kramarić 70' Lovro Majer 90+4'; Alphonso Davies 2')"
FIFA World Cup 2022,Qatar,Group Stage,Group F,Thu Dec 1,18:00,Croatia,0-0,Belgium,0-0,Ahmad bin Ali Stadium, Al Rayyan,
FIFA World Cup 2022,Qatar,Group Stage,Group F,Thu Dec 1,18:00,Canada,1-2,Morocco,1-2,Al Thumama Stadium, Doha,"(Nayef Aguerd 40'(o.g.); Hakim Ziyech 4' Youssef En-Nesyri 23')"
FIFA World Cup 2022,Qatar,Group Stage,Group G,Thu Nov 24,13:00,Switzerland,1-0,Cameroon,0-0,Al Janoub Stadium, Al Wakrah,"(Breel Embolo 48')"
FIFA World Cup 2022,Qatar,Group Stage,Group G,Thu Nov 24,22:00,Brazil,2-0,Serbia,0-0,Lusail Iconic Stadium, Lusail,"(Richarlison 62', 73')"
FIFA World Cup 2022,Qatar,Group Stage,Group G,Mon Nov 28,13:00,Cameroon,3-3,Serbia,1-2,Al Janoub Stadium, Al Wakrah,"(Jean-Charles Castelletto 29' Vincent Aboubakar 63' Jean-Eric Choupo-Moting 66'; Strahinja Pavlović 45+1' Sergej Milinković-Savić 45+3' Aleksandar Mitrović 53')"
FIFA World Cup 2022,Qatar,Group Stage,Group G,Mon Nov 28,19:00,Brazil,1-0,Switzerland,0-0,Stadium 974, Doha,"(Casemiro 83')"
FIFA World Cup 2022,Qatar,Group Stage,Group G,Fri Dec 2,22:00,Serbia,2-3,Switzerland,2-1,Stadium 974, Doha,"(Aleksandar Mitrović 26' Dušan Vlahović 35'; Xherdan Shaqiri 20' Breel Embolo 44' Freuler 48')"
FIFA World Cup 2022,Qatar,Group Stage,Group G,Fri Dec 2,22:00,Cameroon,1-0,Brazil,0-0,Lusail Iconic Stadium, Lusail,"(Vincent Aboubakar 90+2')"
FIFA World Cup 2022,Qatar,Group Stage,Group H,Thu Nov 24,16:00,Uruguay,0-0,South Korea,0-0,Education City Stadium, Al Rayyan,
FIFA World Cup 2022,Qatar,Group Stage,Group H,Thu Nov 24,19:00,Portugal,3-2,Ghana,0-0,Stadium 974, Doha,"(Cristiano Ronaldo 65'(pen.) João Félix 78' Rafael Leão 80'; André Ayew 73' Osman Bukari 89')"
FIFA World Cup 2022,Qatar,Group Stage,Group H,Mon Nov 28,16:00,South Korea,2-3,Ghana,0-2,Education City Stadium, Al Rayyan,"(Cho Gue-sung 58', 61'; Mohammed Salisu 24' Mohammed Kudus 34', 68')"
FIFA World Cup 2022,Qatar,Group Stage,Group H,Mon Nov 28,22:00,Portugal,2-0,Uruguay,0-0,Lusail Iconic Stadium, Lusail,"(Bruno Fernandes 54', 90+3'(pen.))"
FIFA World Cup 2022,Qatar,Group Stage,Group H,Fri Dec 2,18:00,Ghana,0-2,Uruguay,0-0,Al Janoub Stadium, Al Wakrah,"(Giorgian De Arrascaeta 26', 32')"
FIFA World Cup 2022,Qatar,Group Stage,Group H,Fri Dec 2,18:00,South Korea,2-1,Portugal,1-1,Lusail Iconic Stadium, Lusail,"(Kim Young-gwon 27' Hwang Hee-chan 90+1'; Ricardo Horta 5')"
FIFA World Cup 2022,Qatar,Round of 16,,Sat Dec 3,18:00,Netherlands,3-1,USA,2-0,Khalifa International Stadium, Al Rayyan,"(Memphis Depay 10' Daley Blind 45+1' Denzel Dumfries 81'; Haji Wright 76')"
FIFA World Cup 2022,Qatar,Round of 16,,Sat Dec 3,22:00,Argentina,2-1,Australia,1-0,Ahmad bin Ali Stadium, Al Rayyan,"(Lionel Messi 35' Julián Álvarez 57'; Enzo Fernández 77'(o.g.))"
FIFA World Cup 2022,Qatar,Round of 16,,Sun Dec 4,18:00,France,3-1,Poland,1-0,Al Thumama Stadium, Doha,"(Olivier Giroud 44' Mbappé 74', 90+1'; Robert Lewandowski 90+9'(pen.))"
FIFA World Cup 2022,Qatar,Round of 16,,Sun Dec 4,22:00,England,3-0,Senegal,2-0,Al Bayt Stadium, Al Khor,"(Jordan Henderson 38' Harry Kane 45+3' Bukayo Saka 57')"
FIFA World Cup 2022,Qatar,Round of 16,,Mon Dec 5,18:00,Japan,1-1 a.e.t. (1-3 pen.),Croatia,1-1,Al Janoub Stadium, Al Wakrah,"(Daizen Maeda 43'; Ivan Perišić 55')"
FIFA World Cup 2022,Qatar,Round of 16,,Mon Dec 5,22:00,Brazil,4-1,South Korea,4-0,Stadium 974, Doha,"(Vinícius Jr. 7' Neymar 13'(pen.) Richarlison 29' Lucas Paquetá 36'; Paik Seung-ho 76')"
FIFA World Cup 2022,Qatar,Round of 16,,Tue Dec 6,18:00,Morocco,0-0 a.e.t. (3-0 pen.),Spain,0-0,Education City Stadium, Al Rayyan,
FIFA World Cup 2022,Qatar,Round of 16,,Tue Dec 6,22:00,Portugal,6-1,Switzerland,2-0,Lusail Iconic Stadium, Lusail,"(Gonçalo Ramos 17', 51', 67' Pepe 33' Raphaël Guerreiro 55' Rafael Leão 90+2'; Manuel Akanji 58')"
FIFA World Cup 2022,Qatar,Quarter-finals,,Fri Dec 9,18:00,Croatia,1-1 a.e.t. (4-2 pen.),Brazil,0-0,Education City Stadium, Al Rayyan,"(Bruno Petković 117'; Neymar 105+1')"
FIFA World Cup 2022,Qatar,Quarter-finals,,Fri Dec 9,22:00,Netherlands,2-2 a.e.t. (3-4 pen.),Argentina,1-0,Lusail Iconic Stadium, Lusail,"(Wout Weghorst 83', 90+11'; Nahuel Molina 35' Lionel Messi 73'(pen.))"
FIFA World Cup 2022,Qatar,Quarter-finals,,Sat Dec 10,18:00,Morocco,1-0,Portugal,1-0,Al Thumama Stadium, Doha,"(Youssef En-Nesyri 42')"
FIFA World Cup 2022,Qatar,Quarter-finals,,Sat Dec 10,22:00,England,1-2,France,0-1,Al Bayt Stadium, Al Khor,"(Harry Kane 54'(pen.); Aurelién Tchouaméni 17' Olivier Giroud 78')"
FIFA World Cup 2022,Qatar,Semi-finals,,Tue Dec 13,22:00,Argentina,3-0,Croatia,2-0,Lusail Iconic Stadium, Lusail,"(Lionel Messi 34'(pen.) Julián Álvarez 39', 69')"
FIFA World Cup 2022,Qatar,Semi-finals,,Wed Dec 14,22:00,France,2-0,Morocco,1-0,Al Bayt Stadium, Al Khor,"(Théo Hernandez 5' Kolo Muani 79')"
FIFA World Cup 2022,Qatar,Third Place,,Sat Dec 17,18:00,Croatia,2-1,Morocco,2-1,Khalifa International Stadium, Al Rayyan,"(Joško Gvardiol 7' Mislav Oršić 42'; Achraf Dari 9')"
FIFA World Cup 2022,Qatar,Final,,Sun Dec 18,18:00,Argentina,3-3 a.e.t. (4-2 pen.),France,2-2,Lusail Iconic Stadium, Lusail,"(Lionel Messi 23'(pen.), 108' Ángel Di María 36'; Kylian Mbappé 80'(pen.), 81', 118'(pen.))"
