Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2002,Korea/Japan,Group Stage,Group D,Wed Jun 14,20:30,Poland,3-1,USA,2-0,Daejeon World Cup Stadium, Daejeon,"(Emmanuel Olisadebe 3' Paweł Kryszałowicz 24' Marcin Żewłakow 83'; Brian McBride 83')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group E,Sat Jun 1,18:30,Ireland,1-1,Cameroon,0-0,Niigata Stadium, Niigata,"(Robbie Keane 90+2'; Patrick Mboma 39')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group E,Sat Jun 1,20:30,Germany,8-0,Saudi Arabia,4-0,Sapporo Dome, Sapporo,"(Miroslav Klose 20', 25', 70' Michael Ballack 40' Carsten Jancker 45+1' Thomas Linke 50' Oliver Neuville 74' Gerald Asamoah 84')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group E,Wed Jun 5,15:30,Germany,1-1,Ireland,0-0,Kashima Soccer Stadium, Ibaraki,"(Michael Ballack 90+1'; Robbie Keane 90+2')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group E,Thu Jun 6,15:30,Cameroon,1-0,Saudi Arabia,0-0,Saitama Stadium, Saitama,"(Samuel Eto'o 66')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group E,Tue Jun 11,15:30,Cameroon,0-2,Germany,0-0,Shizuoka Stadium, Shizuoka,"(Miroslav Klose 77' Michael Ballack 81')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group E,Tue Jun 11,20:30,Saudi Arabia,0-3,Ireland,0-1,International Stadium Yokohama, Yokohama,"(Robbie Keane 7' Gary Breen 61' Damien Duff 87')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group F,Sat Jun 2,15:30,England,1-1,Sweden,1-0,Saitama Stadium, Saitama,"(Sol Campbell 3'; Henrik Larsson 59')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group F,Sat Jun 2,20:30,Argentina,1-0,Nigeria,0-0,Kashima Soccer Stadium, Ibaraki,"(Gabriel Batistuta 63')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group F,Thu Jun 7,15:30,Sweden,2-1,Nigeria,1-1,Kobe Wing Stadium, Kobe,"(Henrik Larsson 35', 63'; Julius Aghahowa 27')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group F,Thu Jun 7,20:30,Argentina,0-1,England,0-0,Sapporo Dome, Sapporo,"(Michael Owen 23')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group F,Tue Jun 12,15:30,Sweden,1-1,Argentina,0-0,Miyagi Stadium, Miyagi,"(Anders Svensson 59'; Hernán Crespo 88')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group F,Tue Jun 12,20:30,Nigeria,0-0,England,0-0,Nagai Stadium, Osaka,
FIFA World Cup 2002,Korea/Japan,Group Stage,Group G,Sun Jun 3,16:30,Croatia,0-1,Mexico,0-0,Niigata Stadium, Niigata,"(Jared Borgetti 28')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group G,Sun Jun 3,18:30,Italy,2-0,Ecuador,1-0,Sapporo Dome, Sapporo,"(Christian Vieri 7', 27')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group G,Fri Jun 8,18:30,Italy,1-2,Croatia,0-1,Kashima Soccer Stadium, Ibaraki,"(Christian Vieri 55'; Ivica Olić 73' Milan Rapaić 76')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group G,Sat Jun 9,15:30,Mexico,2-1,Ecuador,1-0,Miyagi Stadium, Miyagi,"(Jared Borgetti 28' Gerardo Torrado 57'; Agustín Delgado 5')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group G,Wed Jun 13,15:30,Mexico,1-1,Italy,0-0,Ōita Stadium, Ōita,"(Jared Borgetti 34'; Alessandro Del Piero 85')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group G,Wed Jun 13,20:30,Ecuador,1-0,Croatia,0-0,International Stadium Yokohama, Yokohama,"(Agustín Delgado 72')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group H,Mon Jun 4,18:30,Japan,2-2,Belgium,1-0,Saitama Stadium, Saitama,"(Takayuki Suzuki 59' Junichi Inamoto 67'; Marc Wilmots 57' Peter van der Heyden 75')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group H,Tue Jun 5,18:30,Russia,2-0,Tunisia,0-0,Kobe Wing Stadium, Kobe,"(Dmitri Sychev 59' Egor Titov 74')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group H,Sat Jun 9,20:30,Japan,1-0,Russia,0-0,International Stadium Yokohama, Yokohama,"(Junichi Inamoto 51')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group H,Sun Jun 10,15:30,Tunisia,1-1,Belgium,1-0,Ōita Stadium, Ōita,"(Raouf Bouzaiene 17'(pen.); Wesley Sonck 78')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group H,Thu Jun 14,15:30,Tunisia,0-2,Japan,0-0,Nagai Stadium, Osaka,"(Takayuki Suzuki 51' Hidetoshi Nakata 75')"
FIFA World Cup 2002,Korea/Japan,Group Stage,Group H,Thu Jun 14,20:30,Belgium,3-2,Russia,1-0,Shizuoka Stadium, Shizuoka,"(Marc Wilmots 7', 57' Wesley Sonck 82'; Dmitri Sychev 52' Vladimir Beschastnykh 78')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Sat Jun 15,20:30,Germany,1-0,Paraguay,0-0,Jeju World Cup Stadium, Jeju,"(Oliver Neuville 88')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Sat Jun 15,15:30,Denmark,0-3,England,0-3,Niigata Stadium, Niigata,"(Michael Owen 5' David Beckham 22'(pen.) Emile Heskey 44')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Sun Jun 16,20:30,Sweden,1-2 a.e.t.,Senegal,1-1,Ōita Stadium, Ōita,"(Henrik Larsson 11'; Henri Camara 37', 104')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Sun Jun 16,15:30,Spain,1-1 a.e.t. (3-2 pen.),Ireland,0-1,Suwon World Cup Stadium, Suwon,"(Fernando Morientes 8'; Robbie Keane 90+2'(pen.))"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Mon Jun 17,15:30,Mexico,0-2,USA,0-1,Jeonju World Cup Stadium, Jeonju,"(Brian McBride 43' Landon Donovan 65')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Mon Jun 17,20:30,Brazil,2-0,Belgium,0-0,Kobe Wing Stadium, Kobe,"(Rivaldo 67' Ronaldo 87')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Tue Jun 18,15:30,Japan,0-1,Turkey,0-0,Miyagi Stadium, Miyagi,"(Ümit Davala 12')"
FIFA World Cup 2002,Korea/Japan,Round of 16,,Tue Jun 18,20:30,South Korea,2-1 a.e.t.,Italy,1-1,Daejeon World Cup Stadium, Daejeon,"(Seol Ki-hyeon 88' Ahn Jung-hwan 117'; Christian Vieri 18')"
FIFA World Cup 2002,Korea/Japan,Quarter-finals,,Fri Jun 21,20:30,England,1-2,Brazil,1-1,Shizuoka Stadium, Shizuoka,"(Michael Owen 23'; Rivaldo 45+2' Ronaldinho 55')"
FIFA World Cup 2002,Korea/Japan,Quarter-finals,,Fri Jun 21,15:30,Germany,1-0,USA,0-0,Munsu Cup Stadium, Ulsan,"(Michael Ballack 39')"
FIFA World Cup 2002,Korea/Japan,Quarter-finals,,Sat Jun 22,15:30,Spain,0-0 a.e.t. (3-5 pen.),South Korea,0-0,Gwangju World Cup Stadium, Gwangju,
FIFA World Cup 2002,Korea/Japan,Quarter-finals,,Sat Jun 22,20:30,Senegal,0-1 a.e.t.,Turkey,0-0,Nagai Stadium, Osaka,"(İlhan Mansız 94')"
FIFA World Cup 2002,Korea/Japan,Semi-finals,,Tue Jun 25,20:30,Germany,1-0,South Korea,0-0,Seoul World Cup Stadium, Seoul,"(Michael Ballack 75')"
FIFA World Cup 2002,Korea/Japan,Semi-finals,,Wed Jun 26,20:30,Brazil,1-0,Turkey,0-0,Saitama Stadium, Saitama,"(Ronaldo 49')"
FIFA World Cup 2002,Korea/Japan,Third Place,,Sat Jun 29,20:30,South Korea,2-3,Turkey,1-3,Daegu World Cup Stadium, Daegu,"(Lee Eul-yong 9' Song Chong-gug 90+1'; Hakan Şükür 1' İlhan Mansız 13', 90')"
FIFA World Cup 2002,Korea/Japan,Final,,Sun Jun 30,20:00,Germany,0-2,Brazil,0-0,International Stadium Yokohama, Yokohama,"(Ronaldo 67', 79')"
