Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2010,South Africa,Group Stage,Group D,Sun Jun 13,20:30,Germany,4-0,Australia,2-0,Moses Mabhida Stadium, Durban,"(Lukas Podolski 8' Miroslav Klose 26' Thomas Müller 68' Cacau 70')"
FIFA World Cup 2010,South Africa,Group Stage,Group D,Fri Jun 18,13:30,Germany,0-1,Serbia,0-1,Nelson Mandela Bay Stadium, Port Elizabeth,"(Milan Jovanović 38')"
FIFA World Cup 2010,South Africa,Group Stage,Group D,Sat Jun 19,16:00,Ghana,1-1,Australia,1-1,Royal Bafokeng Stadium, Rustenburg,"(Asamoah Gyan 25'; Brett Holman 11')"
FIFA World Cup 2010,South Africa,Group Stage,Group D,Wed Jun 23,20:30,Australia,2-1,Serbia,1-0,Mbombela Stadium, Nelspruit,"(Tim Cahill 69' Brett Holman 73'; Marko Pantelić 13')"
FIFA World Cup 2010,South Africa,Group Stage,Group D,Wed Jun 23,20:30,Ghana,0-1,Germany,0-0,Soccer City, Johannesburg,"(Mesut Özil 60')"
FIFA World Cup 2010,South Africa,Group Stage,Group E,Mon Jun 14,13:30,Netherlands,2-0,Denmark,1-0,Soccer City, Johannesburg,"(Daniel Agger 46'(o.g.) Dirk Kuyt 85')"
FIFA World Cup 2010,South Africa,Group Stage,Group E,Mon Jun 14,16:00,Japan,1-0,Cameroon,0-0,Free State Stadium, Bloemfontein,"(Keisuke Honda 39')"
FIFA World Cup 2010,South Africa,Group Stage,Group E,Sat Jun 19,13:30,Netherlands,1-0,Japan,0-0,Moses Mabhida Stadium, Durban,"(Wesley Sneijder 53')"
FIFA World Cup 2010,South Africa,Group Stage,Group E,Sat Jun 19,20:30,Cameroon,1-2,Denmark,1-1,Loftus Versfeld Stadium, Pretoria,"(Samuel Eto'o 10'; Nicklas Bendtner 33' Dennis Rommedahl 61')"
FIFA World Cup 2010,South Africa,Group Stage,Group E,Thu Jun 24,20:30,Denmark,1-3,Japan,1-2,Royal Bafokeng Stadium, Rustenburg,"(Nicklas Bendtner 81'; Keisuke Honda 17' Yasuhito Endō 30' Shinji Okazaki 83')"
FIFA World Cup 2010,South Africa,Group Stage,Group E,Thu Jun 24,20:30,Cameroon,1-2,Netherlands,0-1,Cape Town Stadium, Cape Town,"(Samuel Eto'o 65'(pen.); Robin van Persie 36' Klaas-Jan Huntelaar 83')"
FIFA World Cup 2010,South Africa,Group Stage,Group F,Mon Jun 14,20:30,Italy,1-1,Paraguay,0-1,Cape Town Stadium, Cape Town,"(Daniele De Rossi 63'; Antolín Alcaraz 39')"
FIFA World Cup 2010,South Africa,Group Stage,Group F,Tue Jun 15,13:30,New Zealand,1-1,Slovakia,0-0,Royal Bafokeng Stadium, Rustenburg,"(Winston Reid 90+3'; Róbert Vittek 50')"
FIFA World Cup 2010,South Africa,Group Stage,Group F,Sun Jun 20,13:30,Slovakia,0-2,Paraguay,0-1,Free State Stadium, Bloemfontein,"(Enrique Vera 27' Cristian Riveros 86')"
FIFA World Cup 2010,South Africa,Group Stage,Group F,Sun Jun 20,16:00,Italy,1-1,New Zealand,1-0,Mbombela Stadium, Nelspruit,"(Vincenzo Iaquinta 29'(pen.); Shane Smeltz 7')"
FIFA World Cup 2010,South Africa,Group Stage,Group F,Thu Jun 24,16:00,Slovakia,3-2,Italy,1-0,Ellis Park Stadium, Johannesburg,"(Róbert Vittek 25', 73'(pen.) Kamil Kopúnek 81'; Antonio Di Natale 81' Fabio Quagliarella 90+2')"
FIFA World Cup 2010,South Africa,Group Stage,Group F,Thu Jun 24,16:00,Paraguay,0-0,New Zealand,0-0,Peter Mokaba Stadium, Polokwane,
FIFA World Cup 2010,South Africa,Group Stage,Group G,Tue Jun 15,16:00,Côte d'Ivoire,0-0,Portugal,0-0,Nelson Mandela Bay Stadium, Port Elizabeth,
FIFA World Cup 2010,South Africa,Group Stage,Group G,Tue Jun 15,20:30,Brazil,2-1,North Korea,0-0,Ellis Park Stadium, Johannesburg,"(Maicon 55' Elano 72'; Ji Yun-nam 89')"
FIFA World Cup 2010,South Africa,Group Stage,Group G,Sun Jun 20,20:30,Brazil,3-1,Côte d'Ivoire,1-0,Soccer City, Johannesburg,"(Luís Fabiano 25', 50' Elano 62'; Didier Drogba 79')"
FIFA World Cup 2010,South Africa,Group Stage,Group G,Mon Jun 21,13:30,Portugal,7-0,North Korea,0-0,Cape Town Stadium, Cape Town,"(Raúl Meireles 29' Simão 53' Hugo Almeida 56' Tiago 60', 81' Liedson 81' Cristiano Ronaldo 87')"
FIFA World Cup 2010,South Africa,Group Stage,Group G,Fri Jun 25,16:00,Portugal,0-0,Brazil,0-0,Moses Mabhida Stadium, Durban,
FIFA World Cup 2010,South Africa,Group Stage,Group G,Fri Jun 25,16:00,North Korea,0-3,Côte d'Ivoire,0-2,Mbombela Stadium, Nelspruit,"(Yaya Touré 14' Romaric 20' Gervinho 89')"
FIFA World Cup 2010,South Africa,Group Stage,Group H,Wed Jun 16,13:30,Honduras,0-1,Chile,0-1,Mbombela Stadium, Nelspruit,"(Jean Beausejour 34')"
FIFA World Cup 2010,South Africa,Group Stage,Group H,Wed Jun 16,16:00,Spain,0-1,Switzerland,0-0,Moses Mabhida Stadium, Durban,"(Gelson Fernandes 52')"
FIFA World Cup 2010,South Africa,Group Stage,Group H,Mon Jun 21,16:00,Chile,1-0,Switzerland,0-0,Nelson Mandela Bay Stadium, Port Elizabeth,"(Mark González 75')"
FIFA World Cup 2010,South Africa,Group Stage,Group H,Mon Jun 21,20:30,Spain,2-0,Honduras,0-0,Ellis Park Stadium, Johannesburg,"(David Villa 17', 51')"
FIFA World Cup 2010,South Africa,Group Stage,Group H,Fri Jun 25,20:30,Chile,1-2,Spain,0-2,Loftus Versfeld Stadium, Pretoria,"(Jean Beausejour 24'; David Villa 24', 69')"
FIFA World Cup 2010,South Africa,Group Stage,Group H,Fri Jun 25,20:30,Switzerland,0-0,Honduras,0-0,Free State Stadium, Bloemfontein,
FIFA World Cup 2010,South Africa,Round of 16,,Sat Jun 26,16:00,Uruguay,2-1,South Korea,1-0,Nelson Mandela Bay Stadium, Port Elizabeth,"(Luis Suárez 8', 80'; Lee Chung-yong 68')"
FIFA World Cup 2010,South Africa,Round of 16,,Sat Jun 26,20:30,USA,1-2 a.e.t.,Ghana,1-1,Royal Bafokeng Stadium, Rustenburg,"(Landon Donovan 62'(pen.); Kevin-Prince Boateng 5' Asamoah Gyan 93')"
FIFA World Cup 2010,South Africa,Round of 16,,Sun Jun 27,16:00,Germany,4-1,England,2-1,Free State Stadium, Bloemfontein,"(Miroslav Klose 20' Lukas Podolski 32' Thomas Müller 67', 70'; Matthew Upson 37')"
FIFA World Cup 2010,South Africa,Round of 16,,Sun Jun 27,20:30,Argentina,3-1,Mexico,1-0,Soccer City, Johannesburg,"(Carlos Tévez 26', 52' Gonzalo Higuaín 33'; Javier Hernández 71')"
FIFA World Cup 2010,South Africa,Round of 16,,Mon Jun 28,16:00,Netherlands,2-1,Slovakia,1-0,Moses Mabhida Stadium, Durban,"(Arjen Robben 18' Wesley Sneijder 84'; Róbert Vittek 90+1'(pen.))"
FIFA World Cup 2010,South Africa,Round of 16,,Mon Jun 28,20:30,Brazil,3-0,Chile,2-0,Ellis Park Stadium, Johannesburg,"(Juan 35' Luís Fabiano 38' Robinho 59')"
FIFA World Cup 2010,South Africa,Round of 16,,Tue Jun 29,16:00,Paraguay,0-0 a.e.t. (5-3 pen.),Japan,0-0,Loftus Versfeld Stadium, Pretoria,
FIFA World Cup 2010,South Africa,Round of 16,,Tue Jun 29,20:30,Spain,1-0,Portugal,0-0,Cape Town Stadium, Cape Town,"(David Villa 63')"
FIFA World Cup 2010,South Africa,Quarter-finals,,Fri Jul 2,16:00,Netherlands,2-1,Brazil,0-1,Nelson Mandela Bay Stadium, Port Elizabeth,"(Robinho 10'(o.g.) Wesley Sneijder 53', 68')"
FIFA World Cup 2010,South Africa,Quarter-finals,,Fri Jul 2,20:30,Uruguay,1-1 a.e.t. (4-2 pen.),Ghana,1-1,Soccer City, Johannesburg,"(Luis Suárez 55'; Sulley Muntari 45+2')"
FIFA World Cup 2010,South Africa,Quarter-finals,,Sat Jul 3,16:00,Argentina,0-4,Germany,0-1,Cape Town Stadium, Cape Town,"(Thomas Müller 3' Miroslav Klose 68' Arne Friedrich 74' Thomas Müller 89')"
FIFA World Cup 2010,South Africa,Quarter-finals,,Sat Jul 3,20:30,Paraguay,0-1,Spain,0-0,Ellis Park Stadium, Johannesburg,"(David Villa 83')"
FIFA World Cup 2010,South Africa,Semi-finals,,Tue Jul 6,20:30,Uruguay,2-3,Netherlands,1-1,Cape Town Stadium, Cape Town,"(Diego Forlán 41' Maximiliano Pereira 70'; Giovanni van Bronckhorst 18' Wesley Sneijder 70' Arjen Robben 73')"
FIFA World Cup 2010,South Africa,Semi-finals,,Wed Jul 7,20:30,Germany,0-1,Spain,0-0,Moses Mabhida Stadium, Durban,"(Carles Puyol 73')"
FIFA World Cup 2010,South Africa,Third Place,,Sat Jul 10,20:30,Uruguay,2-3,Germany,1-1,Nelson Mandela Bay Stadium, Port Elizabeth,"(Diego Forlán 19', 51'(pen.); Thomas Müller 19' Miroslav Klose 82' Sami Khedira 88')"
FIFA World Cup 2010,South Africa,Final,,Sun Jul 11,20:30,Netherlands,0-1 a.e.t.,Spain,0-0,Soccer City, Johannesburg,"(Andrés Iniesta 116')"
