Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2018,Russia,Group Stage,Group E,Sun Jun 17,16:00 UTC+4,Costa Rica,0-1,Serbia,0-0,Samara Arena, Samara,"(Kolarov 56')"
FIFA World Cup 2018,Russia,Group Stage,Group E,Sun Jun 17,21:00 UTC+3,Brazil,1-1,Switzerland,1-0,Rostov Arena, Rostov-on-Don,"(Coutinho 20'; Zuber 50')"
FIFA World Cup 2018,Russia,Group Stage,Group E,Fri Jun 22,15:00 UTC+3,Brazil,2-0,Costa Rica,0-0,Saint Petersburg Stadium, Saint Petersburg,"(P. Coutinho 90+1' Neymar Jr 90+7')"
FIFA World Cup 2018,Russia,Group Stage,Group E,Fri Jun 22,20:00 UTC+2,Serbia,1-2,Switzerland,1-0,Kaliningrad Stadium, Kaliningrad,"(Mitrović 5'; Xhaka 52' Shaqiri 90')"
FIFA World Cup 2018,Russia,Group Stage,Group E,Wed Jun 27,21:00 UTC+3,Serbia,0-2,Brazil,0-1,Spartak Stadium, Moscow,"(Paulinho 36' Thiago Silva 68')"
FIFA World Cup 2018,Russia,Group Stage,Group E,Wed Jun 27,21:00 UTC+3,Switzerland,2-2,Costa Rica,1-0,Nizhny Novgorod Stadium, Nizhny Novgorod,"(Džemaili 31' Drmić 88'; Waston 56' Sommer 90+3' (o.g.))"
FIFA World Cup 2018,Russia,Group Stage,Group F,Sun Jun 17,18:00 UTC+3,Germany,0-1,Mexico,0-1,Luzhniki Stadium, Moscow,"(Lozano 35')"
FIFA World Cup 2018,Russia,Group Stage,Group F,Mon Jun 18,15:00 UTC+3,Sweden,1-0,South Korea,0-0,Nizhny Novgorod Stadium, Nizhny Novgorod,"(Granqvist 65' (pen.))"
FIFA World Cup 2018,Russia,Group Stage,Group F,Sat Jun 23,18:00 UTC+3,South Korea,1-2,Mexico,0-1,Rostov Arena, Rostov-on-Don,"(Son Heung-min 90+3'; Carlos Vela 26' (pen.) J. Hernández 66')"
FIFA World Cup 2018,Russia,Group Stage,Group F,Sat Jun 23,21:00 UTC+3,Germany,2-1,Sweden,0-1,Fisht Stadium, Sochi,"(Reus 48' Kroos 90+5'; Toivonen 32')"
FIFA World Cup 2018,Russia,Group Stage,Group F,Wed Jun 27,17:00 UTC+3,South Korea,2-0,Germany,0-0,Kazan Arena, Kazan,"(Kim Young-gwon 90+2' Son Heung-min 90+6')"
FIFA World Cup 2018,Russia,Group Stage,Group F,Wed Jun 27,19:00 UTC+5,Mexico,0-3,Sweden,0-0,Ekaterinburg Arena, Ekaterinburg,"(Augustinsson 50' Granqvist 62' (pen.) Álvarez 74' (o.g.))"
FIFA World Cup 2018,Russia,Group Stage,Group G,Mon Jun 18,18:00 UTC+3,Belgium,3-0,Panama,0-0,Fisht Stadium, Sochi,"(Mertens 47' Lukaku 69', 75')"
FIFA World Cup 2018,Russia,Group Stage,Group G,Mon Jun 18,21:00 UTC+3,Tunisia,1-2,England,1-1,Volgograd Arena, Volgograd,"(Sassi 35' (pen.); Kane 11', 90+1')"
FIFA World Cup 2018,Russia,Group Stage,Group G,Sat Jun 23,15:00 UTC+3,Belgium,5-2,Tunisia,3-1,Spartak Stadium, Moscow,"(E. Hazard 6' (pen.), 51' R. Lukaku 16', 45+3' Batshuayi 90'; Bronn 18' Khazri 90+3')"
FIFA World Cup 2018,Russia,Group Stage,Group G,Sun Jun 24,15:00 UTC+3,England,6-1,Panama,5-0,Nizhny Novgorod Stadium, Nizhny Novgorod,"(Stones 8', 40' Kane 22' (pen.), 45+1' (pen.), 62' Lingard 36'; Baloy 78')"
FIFA World Cup 2018,Russia,Group Stage,Group G,Thu Jun 28,20:00 UTC+2,England,0-1,Belgium,0-0,Kaliningrad Stadium, Kaliningrad,"(Adnan Januzaj 51')"
FIFA World Cup 2018,Russia,Group Stage,Group G,Thu Jun 28,21:00 UTC+3,Panama,1-2,Tunisia,1-0,Mordovia Arena, Saransk,"(Yassine Meriah 33' (o.g.); Fakhereedine Ben Youssef 51' Wahbi Khazri 66')"
FIFA World Cup 2018,Russia,Group Stage,Group H,Tue Jun 19,15:00 UTC+3,Colombia,1-2,Japan,1-1,Mordovia Arena, Saransk,"(J. Quintero 39'; Kagawa 6' (pen.) Osako 73')"
FIFA World Cup 2018,Russia,Group Stage,Group H,Tue Jun 19,18:00 UTC+3,Poland,1-2,Senegal,0-1,Spartak Stadium, Moscow,"(Krychowiak 86'; Cionek 37' (o.g.) Niang 60')"
FIFA World Cup 2018,Russia,Group Stage,Group H,Sun Jun 24,20:00 UTC+5,Japan,2-2,Senegal,1-1,Ekaterinburg Arena, Ekaterinburg,"(Inui 34' Honda 78'; Mané 11' M. Wagué 71')"
FIFA World Cup 2018,Russia,Group Stage,Group H,Sun Jun 24,21:00 UTC+3,Poland,0-3,Colombia,0-1,Kazan Arena, Kazan,"(Y. Mina 40' Falcao 70' Cuadrado 75')"
FIFA World Cup 2018,Russia,Group Stage,Group H,Thu Jun 28,17:00 UTC+3,Japan,0-1,Poland,0-1,Volgograd Arena, Volgograd,"(Bednarek 59')"
FIFA World Cup 2018,Russia,Group Stage,Group H,Thu Jun 28,18:00 UTC+4,Senegal,0-1,Colombia,0-1,Samara Arena, Samara,"(Y. Mina 74')"
FIFA World Cup 2018,Russia,Round of 16,,Sat Jun 30,17:00 UTC+3,France,4-3,Argentina,1-1,Kazan Arena, Kazan,"(Antoine Griezmann 13'(pen.) Benjamin Pavard 57' Kylian Mbappé 64', 68'; Ángel Di María 41' Gabriel Mercado 48' Sergio Agüero 90+3')"
FIFA World Cup 2018,Russia,Round of 16,,Sat Jun 30,21:00 UTC+3,Uruguay,2-1,Portugal,1-0,Fisht Stadium, Sochi,"(Edinson Cavani 7', 62'; Pepe 55')"
FIFA World Cup 2018,Russia,Round of 16,,Sun Jul 1,17:00 UTC+3,Spain,1-1 a.e.t. (3-4 pen.),Russia,1-1,Luzhniki Stadium, Moscow,"(Sergei Ignashevich 12'(o.g.); Artem Dzyuba 41'(pen.))"
FIFA World Cup 2018,Russia,Round of 16,,Sun Jul 1,21:00 UTC+3,Croatia,1-1 a.e.t. (3-2 pen.),Denmark,1-1,Nizhny Novgorod Stadium, Nizhny Novgorod,"(Mario Mandžukić 4'; Mathias Jørgensen 1')"
FIFA World Cup 2018,Russia,Round of 16,,Mon Jul 2,18:00 UTC+4,Brazil,2-0,Mexico,0-0,Samara Arena, Samara,"(Neymar 51' Roberto Firmino 88')"
FIFA World Cup 2018,Russia,Round of 16,,Mon Jul 2,21:00 UTC+3,Belgium,3-2,Japan,0-0,Rostov Arena, Rostov-on-Don,"(Jan Vertonghen 69' Marouane Fellaini 74' Nacer Chadli 90+4'; Genki Haraguchi 48' Takashi Inui 52')"
FIFA World Cup 2018,Russia,Round of 16,,Tue Jul 3,17:00 UTC+3,Sweden,1-0,Switzerland,0-0,Saint Petersburg Stadium, Saint Petersburg,"(Emil Forsberg 66')"
FIFA World Cup 2018,Russia,Round of 16,,Tue Jul 3,21:00 UTC+3,Colombia,1-1 a.e.t. (3-4 pen.),England,0-0,Spartak Stadium, Moscow,"(Yerry Mina 90+3'; Harry Kane 57'(pen.))"
FIFA World Cup 2018,Russia,Quarter-finals,,Fri Jul 6,17:00 UTC+3,Uruguay,0-2,France,0-1,Nizhny Novgorod Stadium, Nizhny Novgorod,"(Raphaël Varane 40' Antoine Griezmann 61')"
FIFA World Cup 2018,Russia,Quarter-finals,,Fri Jul 6,21:00 UTC+3,Brazil,1-2,Belgium,0-2,Kazan Arena, Kazan,"(Renato Augusto 76'; Fernandinho 13'(o.g.) Kevin De Bruyne 31')"
FIFA World Cup 2018,Russia,Quarter-finals,,Sat Jul 7,18:00 UTC+4,Sweden,0-2,England,0-1,Samara Arena, Samara,"(Harry Maguire 30' Dele Alli 58')"
FIFA World Cup 2018,Russia,Quarter-finals,,Sat Jul 7,21:00 UTC+3,Russia,2-2 a.e.t. (3-4 pen.),Croatia,1-1,Fisht Stadium, Sochi,"(Denis Cheryshev 31' Mário Figueira Fernandes 115'; Andrej Kramarić 39' Domagoj Vida 100')"
FIFA World Cup 2018,Russia,Semi-finals,,Tue Jul 10,21:00 UTC+3,France,1-0,Belgium,0-0,Saint Petersburg Stadium, St. Petersburg,"(Samuel Umtiti 51')"
FIFA World Cup 2018,Russia,Semi-finals,,Wed Jul 11,21:00 UTC+3,Croatia,2-1 a.e.t.,England,0-1,Luzhniki Stadium, Moscow,"(Ivan Perišić 68' Mario Mandžukić 109'; Kieran Trippier 5')"
FIFA World Cup 2018,Russia,Third Place,,Sat Jul 14,17:00 UTC+3,Belgium,2-0,England,1-0,Saint Petersburg Stadium, St. Petersburg,"(Thomas Meunier 4' Eden Hazard 82')"
FIFA World Cup 2018,Russia,Final,,Sun Jul 15,18:00 UTC+3,France,4-2,Croatia,2-1,Luzhniki Stadium, Moscow,"(Mandžukić 18'(o.g.) Griezmann 38'(pen.) Pogba 59' Mbappé 65'; Perišić 28' Mandžukić 69')"
