Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2014,Brazil,Group Stage,Group D,Sat Jun 14,18:00 UTC-4,England,1-2,Italy,0-1,Arena Amazônia, Manaus,"(Daniel Sturridge 37'; Claudio Marchisio 35' Mario Balotelli 50')"
FIFA World Cup 2014,Brazil,Group Stage,Group D,Thu Jun 19,16:00 UTC-3,Uruguay,2-1,England,1-0,Arena de São Paulo, São Paulo,"(Luis Suárez 39', 85'; Wayne Rooney 75')"
FIFA World Cup 2014,Brazil,Group Stage,Group D,Fri Jun 20,13:00 UTC-3,Italy,0-1,Costa Rica,0-1,Arena Pernambuco, Recife,"(Bryan Ruiz 44')"
FIFA World Cup 2014,Brazil,Group Stage,Group D,Tue Jun 24,13:00 UTC-3,Italy,0-1,Uruguay,0-0,Estádio das Dunas, Natal,"(Diego Godín 81')"
FIFA World Cup 2014,Brazil,Group Stage,Group D,Tue Jun 24,13:00 UTC-3,Costa Rica,0-0,England,0-0,Estádio Mineirão, Belo Horizonte,
FIFA World Cup 2014,Brazil,Group Stage,Group E,Sun Jun 15,13:00 UTC-3,Switzerland,2-1,Ecuador,0-1,Estádio Nacional Mané Garrincha, Brasília,"(Admir Mehmedi 48' Haris Seferović 90+3'; Enner Valencia 22')"
FIFA World Cup 2014,Brazil,Group Stage,Group E,Sun Jun 15,16:00 UTC-3,France,3-0,Honduras,1-0,Estádio Beira-Rio, Porto Alegre,"(Noel Valladares 48'(o.g.) Karim Benzema 45'(pen.), 72')"
FIFA World Cup 2014,Brazil,Group Stage,Group E,Fri Jun 20,16:00 UTC-3,Switzerland,2-5,France,0-3,Arena Fonte Nova, Salvador,"(Blerim Džemaili 81' Granit Xhaka 87'; Olivier Giroud 17' Blaise Matuidi 18' Mathieu Valbuena 40' Karim Benzema 67' Moussa Sissoko 73')"
FIFA World Cup 2014,Brazil,Group Stage,Group E,Fri Jun 20,19:00 UTC-3,Honduras,1-2,Ecuador,0-1,Arena da Baixada, Curitiba,"(Carlo Costly 31'; Enner Valencia 34', 65')"
FIFA World Cup 2014,Brazil,Group Stage,Group E,Wed Jun 25,16:00 UTC-4,Honduras,0-3,Switzerland,0-1,Arena Amazônia, Manaus,"(Xherdan Shaqiri 6', 31', 71')"
FIFA World Cup 2014,Brazil,Group Stage,Group E,Wed Jun 25,17:00 UTC-3,Ecuador,0-0,France,0-0,Estádio do Maracanã, Rio de Janeiro,
FIFA World Cup 2014,Brazil,Group Stage,Group F,Sun Jun 15,19:00 UTC-3,Argentina,2-1,Bosnia-Herzegovina,1-0,Estádio do Maracanã, Rio de Janeiro,"(Sead Kolašinac 3'(o.g.) Lionel Messi 65'; Vedad Ibišević 85')"
FIFA World Cup 2014,Brazil,Group Stage,Group F,Mon Jun 16,16:00 UTC-3,Iran,0-0,Nigeria,0-0,Arena da Baixada, Curitiba,
FIFA World Cup 2014,Brazil,Group Stage,Group F,Sat Jun 21,13:00 UTC-3,Argentina,1-0,Iran,0-0,Estádio Mineirão, Belo Horizonte,"(Lionel Messi 90')"
FIFA World Cup 2014,Brazil,Group Stage,Group F,Sat Jun 21,18:00 UTC-4,Nigeria,1-0,Bosnia-Herzegovina,0-0,Arena Pantanal, Cuiabá,"(Peter Odemwingie 29')"
FIFA World Cup 2014,Brazil,Group Stage,Group F,Wed Jun 25,13:00 UTC-3,Nigeria,2-3,Argentina,1-1,Estádio Beira-Rio, Porto Alegre,"(Ahmed Musa 4', 47'; Lionel Messi 3', 45+1' Marcos Rojo 50')"
FIFA World Cup 2014,Brazil,Group Stage,Group F,Wed Jun 25,13:00 UTC-3,Bosnia-Herzegovina,3-1,Iran,1-0,Arena Fonte Nova, Salvador,"(Edin Džeko 23' Miralem Pjanić 59' Avdija Vršajević 83'; Reza Ghoochannejhad 82')"
FIFA World Cup 2014,Brazil,Group Stage,Group G,Mon Jun 16,13:00 UTC-3,Germany,4-0,Portugal,1-0,Arena Fonte Nova, Salvador,"(Thomas Müller 12'(pen.), 45+1', 78' Mats Hummels 32')"
FIFA World Cup 2014,Brazil,Group Stage,Group G,Mon Jun 16,19:00 UTC-3,Ghana,1-2,USA,0-1,Estádio das Dunas, Natal,"(André Ayew 82'; Clint Dempsey 1' John Brooks 86')"
FIFA World Cup 2014,Brazil,Group Stage,Group G,Sat Jun 21,16:00 UTC-3,Germany,2-2,Ghana,0-1,Estádio Castelão, Fortaleza,"(Mario Götze 51' Miroslav Klose 71'; André Ayew 54' Asamoah Gyan 63')"
FIFA World Cup 2014,Brazil,Group Stage,Group G,Sun Jun 22,18:00 UTC-4,USA,2-2,Portugal,1-0,Arena Amazônia, Manaus,"(Jermaine Jones 64' Clint Dempsey 81'; Nani 5' Varela 90+5')"
FIFA World Cup 2014,Brazil,Group Stage,Group G,Thu Jun 26,13:00 UTC-3,USA,0-1,Germany,0-0,Arena Pernambuco, Recife,"(Thomas Müller 55')"
FIFA World Cup 2014,Brazil,Group Stage,Group G,Thu Jun 26,13:00 UTC-3,Portugal,2-1,Ghana,0-1,Estádio Nacional Mané Garrincha, Brasília,"(John Boye 31'(o.g.) Cristiano Ronaldo 80'; Asamoah Gyan 57')"
FIFA World Cup 2014,Brazil,Group Stage,Group H,Tue Jun 17,13:00 UTC-3,Belgium,2-1,Algeria,0-1,Estádio Mineirão, Belo Horizonte,"(Marouane Fellaini 70' Dries Mertens 80'; Sofiane Feghouli 25'(pen.))"
FIFA World Cup 2014,Brazil,Group Stage,Group H,Tue Jun 17,18:00 UTC-4,Russia,1-1,South Korea,0-0,Arena Pantanal, Cuiabá,"(Alexander Kerzhakov 74'; Lee Keunho 68')"
FIFA World Cup 2014,Brazil,Group Stage,Group H,Sun Jun 22,13:00 UTC-3,Belgium,1-0,Russia,0-0,Estádio do Maracanã, Rio de Janeiro,"(Divock Origi 88')"
FIFA World Cup 2014,Brazil,Group Stage,Group H,Sun Jun 22,16:00 UTC-3,South Korea,2-4,Algeria,0-2,Estádio Beira-Rio, Porto Alegre,"(Son Heung-min 50' Koo Ja-cheol 72'; Islam Slimani 26' Rafik Halliche 28' Abdelmoumene Djabou 38' Yacine Brahimi 62')"
FIFA World Cup 2014,Brazil,Group Stage,Group H,Thu Jun 26,17:00 UTC-3,South Korea,0-1,Belgium,0-0,Arena de São Paulo, São Paulo,"(Jan Vertonghen 78')"
FIFA World Cup 2014,Brazil,Group Stage,Group H,Thu Jun 26,17:00 UTC-3,Algeria,1-1,Russia,0-0,Arena da Baixada, Curitiba,"(Islam Slimani 60'; Alexander Kokorin 6')"
FIFA World Cup 2014,Brazil,Round of 16,,Sat Jun 28,13:00 UTC-3,Brazil,1-1 a.e.t. (3-2 pen.),Chile,1-1,Estádio Mineirão, Belo Horizonte,"(David Luiz 18'; Alexis Sánchez 32')"
FIFA World Cup 2014,Brazil,Round of 16,,Sat Jun 28,17:00 UTC-3,Colombia,2-0,Uruguay,1-0,Estádio do Maracanã, Rio de Janeiro,"(James Rodríguez 28', 50')"
FIFA World Cup 2014,Brazil,Round of 16,,Sun Jun 29,13:00 UTC-3,Netherlands,2-1,Mexico,0-0,Estádio Castelão, Fortaleza,"(Wesley Sneijder 88' Klaas-Jan Huntelaar 90'(pen.); Giovani dos Santos 48')"
FIFA World Cup 2014,Brazil,Round of 16,,Sun Jun 29,17:00 UTC-3,Costa Rica,1-1 a.e.t. (5-3 pen.),Greece,1-1,Arena Pernambuco, Recife,"(Bryan Ruiz 52'; Sokratis Papastathopoulos 90')"
FIFA World Cup 2014,Brazil,Round of 16,,Mon Jun 30,13:00 UTC-3,France,2-0,Nigeria,0-0,Estádio Nacional Mané Garrincha, Brasília,"(Paul Pogba 79' Joseph Yobo 90+2'(o.g.))"
FIFA World Cup 2014,Brazil,Round of 16,,Mon Jun 30,17:00 UTC-3,Germany,2-1 a.e.t.,Algeria,0-0,Estádio Beira-Rio, Porto Alegre,"(André Schürrle 92' Mesut Özil 120'; Abdelmoumene Djabou 121')"
FIFA World Cup 2014,Brazil,Round of 16,,Tue Jul 1,13:00 UTC-3,Argentina,1-0 a.e.t.,Switzerland,0-0,Arena de São Paulo, São Paulo,"(Ángel Di María 118')"
FIFA World Cup 2014,Brazil,Round of 16,,Tue Jul 1,17:00 UTC-3,Belgium,2-1 a.e.t.,USA,0-0,Arena Fonte Nova, Salvador,"(Kevin De Bruyne 93' Romelu Lukaku 105'; Julian Green 107')"
FIFA World Cup 2014,Brazil,Quarter-finals,,Fri Jul 4,13:00 UTC-3,France,0-1,Germany,0-1,Estádio do Maracanã, Rio de Janeiro,"(Mats Hummels 13')"
FIFA World Cup 2014,Brazil,Quarter-finals,,Fri Jul 4,17:00 UTC-3,Brazil,2-1,Colombia,1-0,Estádio Castelão, Fortaleza,"(Thiago Silva 7' David Luiz 69'; James Rodríguez 80'(pen.))"
FIFA World Cup 2014,Brazil,Quarter-finals,,Sat Jul 5,13:00 UTC-3,Argentina,1-0,Belgium,1-0,Estádio Nacional Mané Garrincha, Brasília,"(Gonzalo Higuaín 8')"
FIFA World Cup 2014,Brazil,Quarter-finals,,Sat Jul 5,17:00 UTC-3,Netherlands,0-0 a.e.t. (4-3 pen.),Costa Rica,0-0,Arena Fonte Nova, Salvador,
FIFA World Cup 2014,Brazil,Semi-finals,,Tue Jul 8,17:00 UTC-3,Brazil,1-7,Germany,0-5,Estádio Mineirão, Belo Horizonte,"(Oscar 90'; Thomas Müller 11' Miroslav Klose 23' Toni Kroos 24', 26' Sami Khedira 29' André Schürrle 69', 79')"
FIFA World Cup 2014,Brazil,Semi-finals,,Wed Jul 9,17:00 UTC-3,Netherlands,0-0 a.e.t. (2-4 pen.),Argentina,0-0,Arena de São Paulo, São Paulo,
FIFA World Cup 2014,Brazil,Third Place,,Sat Jul 12,17:00 UTC-3,Brazil,0-3,Netherlands,0-2,Estádio Nacional Mané Garrincha, Brasília,"(Robin van Persie 3'(pen.) Daley Blind 17' Georginio Wijnaldum 90+1')"
FIFA World Cup 2014,Brazil,Final,,Sun Jul 13,16:00 UTC-3,Germany,1-0 a.e.t.,Argentina,0-0,Estádio do Maracanã, Rio de Janeiro,"(Mario Götze 113')"
